ID	Sex	BirthYear	BY.min	BY.max
C245200FRH	1	NA	2019	2022
C245201FRH	1	NA	2019	2022
C245202FRH	1	NA	2019	2022
C245203FRH	1	NA	2019	2022
C245204FRH	1	NA	2019	2022
C245205FRH	1	NA	2019	2022
C245206FRH	1	NA	2019	2022
C245207FRH	1	NA	2019	2022
C245208FRH	1	NA	2019	2022
C245209FRH	1	NA	2019	2022
C245210FRH	1	NA	2019	2022
C245211FRH	1	NA	2019	2022
C245212FRH	1	NA	2019	2022
C245213FRH	1	NA	2019	2022
C245214FRH	1	NA	2019	2022
C245215FRH	2	NA	2019	2022
C245216FRH	2	NA	2019	2022
C245217FRH	2	NA	2019	2022
C245218FRH	1	NA	2019	2022
C245219FRH	1	NA	2019	2022
C245220FRH	1	NA	2019	2022
C245221FRH	1	NA	2019	2022
C245222FRH	1	NA	2019	2022
C245223FRH	1	NA	2019	2022
C245224FRH	2	NA	2019	2022
C245225FRH	2	NA	2019	2022
C245226FRH	1	NA	2019	2022
C245227FRH	2	NA	2019	2022
C245228FRH	1	NA	2019	2022
C245229FRH	1	NA	2019	2022
C245230FRH	2	NA	2019	2022
C245231FRH	2	NA	2019	2022
C245232FRH	2	NA	2019	2022
C245233FRH	1	NA	2019	2022
C245234FRH	2	NA	2019	2022
C245235FRH	2	NA	2019	2022
C245236FRH	2	NA	2019	2022
C245237FRH	2	NA	2019	2022
C245238FRH	2	NA	2019	2022
C245239FRH	2	NA	2019	2022
C245240FRH	2	NA	2019	2022
C245241FRH	2	NA	2019	2022
C245242FRH	2	NA	2019	2022
C245243FRH	1	NA	2019	2022
C245244FRH	2	NA	2019	2022
C245245FRH	2	NA	2019	2022
C245246FRH	2	NA	2019	2022
C245247FRH	1	NA	2019	2022
C245248FRH	1	NA	2019	2022
C245249FRH	1	NA	2019	2022
C245250FRH	1	NA	2019	2022
C245251FRH	1	NA	2019	2022
C245252FRH	1	NA	2019	2022
C245253FRH	1	NA	2019	2022
C245254FRH	1	NA	2019	2022
C245255FRH	1	NA	2019	2022
C245256FRH	1	NA	2019	2022
C245257FRH	1	NA	2019	2022
C245258FRH	2	NA	2019	2022
C245259FRH	1	NA	2019	2022
C245260FRH	2	NA	2019	2022
C245261FRH	1	NA	2019	2022
C245262FRH	2	NA	2019	2022
C245263FRH	2	NA	2019	2022
C245264FRH	2	NA	2019	2022
C245265FRH	2	NA	2019	2022
C245266FRH	1	NA	2019	2022
C245267FRH	2	NA	2019	2022
C245268FRH	2	NA	2019	2022
C245269FRH	1	NA	2019	2022
C245270FRH	1	NA	2019	2022
C245271FRH	2	NA	2019	2022
C245272FRH	2	NA	2019	2022
C245273FRH	2	NA	2019	2022
C245274FRH	2	NA	2019	2022
C245275FRH	2	NA	2019	2022
C245276FRH	2	NA	2019	2022
C245281FRH	1	NA	2019	2022
C245282FRH	1	NA	2019	2022
C245283FRH	1	NA	2019	2022
C245284FRH	1	NA	2019	2022
C245285FRH	1	NA	2019	2022
C245286FRH	2	NA	2019	2022
C245287FRH	2	NA	2019	2022
C245288FRH	2	NA	2019	2022
